Red,,,,,,
0,0,16384,0,0,0,0
55,-567,16251,724,-79,0,0
89,-984,15856,1605,-183,1,0
106,-1262,15212,2637,-313,4,0
109,-1417,14345,3805,-466,8,0
102,-1466,13283,5088,-639,16,0
89,-1430,12063,6458,-823,27,0
73,-1329,10727,7882,-1009,40,0
56,-1189,9319,9319,-1183,56,0
40,-1009,7882,10727,-1329,73,0
27,-823,6458,12063,-1430,89,0
16,-639,5088,13283,-1466,102,0
8,-466,3805,14345,-1417,109,0
4,-313,2637,15212,-1262,106,0
1,-183,1605,15856,-984,89,0
0,-79,724,16251,-567,55,0
Blue,,,,,,
0,0,16384,0,0,0,0
55,-567,16251,724,-79,0,0
89,-984,15856,1605,-183,1,0
106,-1262,15212,2637,-313,4,0
109,-1417,14345,3805,-466,8,0
102,-1466,13283,5088,-639,16,0
89,-1430,12063,6458,-823,27,0
73,-1329,10727,7882,-1009,40,0
56,-1189,9319,9319,-1183,56,0
40,-1009,7882,10727,-1329,73,0
27,-823,6458,12063,-1430,89,0
16,-639,5088,13283,-1466,102,0
8,-466,3805,14345,-1417,109,0
4,-313,2637,15212,-1262,106,0
1,-183,1605,15856,-984,89,0
0,-79,724,16251,-567,55,0
